abdome	barriga
cuidador	pessoa responsável por cuidar do paciente; pode ser um profissional contratado, um familiar ou amigo
dbs	Do inglês "Deep Brain Estimulation"; o mesmo que Estimulação Cerebral Profunda (*Ver Estimulação Cerebral Profunda no glossário)
dançaterapia	terapia que utiliza a dança como forma de tratamento
declínio cognitivo	perda de memória e atenção, problemas na fala e desordem de pensamento
decúbito	posição da pessoa que está deitada
decúbito dorsal	deitado de barriga para cima
decúbito lateral	deitado do lado esquerdo com a coxa e o joelho direitos junto ao peito ou deitado do lado direito com a coxa e joelho esquerdos junto ao peito
decúbito ventral	deitado de barriga para baixo
deficiência intelectual	atraso no desenvolvimento que pode ser percebido por dificuldades de aprendizado, de se relacionar com outras pessoas e de realizar atividades simples
degeneração estriadonitral	doença degenerativa dos neurônios (perda de neurônios)
degeneração estriatonigral	doença degenerativa dos neurônios (perda de neurônios)
degeneração estrionígrica	doença degenerativa dos neurônios (perda de neurônios)
degeneração nigroestriatal	doença degenerativa dos neurônios (perda de neurônios)
degeneração	mudança(s) para um estado pior
deglutição	ação de engolir 
deglutir	engolir
delírio	ideia ou pensamento que não é real
delirium	ideia ou pensamento que não é real
demência	perda de capacidades do cérebro, como memória e pensamento
demência de corpos de lewy	doença que causa a perda, aos poucos, das capacidades do cérebro (memória, pensamento etc.)
demência senil	perda de capacidade do cérebro pela velhice
demenciar	com sintomas de demência (*definição de demência)
densidade óssea	quantidade de cálcio que um osso tem
densitometria óssea	exame que determina a densidade do osso (quantidade de cálcio que um osso tem), importante no diagnóstico da osteoporose (*Ver osteoporose no glossário)
depleção	perda ou diminuição de substância presente no organismo, como sangue, água, sódio etc.
depressão	doença que causa tristeza e desânimo constante, entre outros sintomas
dermatite atópica	inflamação na pele que causa manchas ou feridas vermelhas que coçam muito e, às vezes, descamam (perdem camadas da pele); aparecem mais no rosto de crianças pequenas e nas dobras dos joelhos e cotovelos de crianças maiores e adultos
dermatite seborreico	inflamação na pele que causa manchas vermelhas e descamação (perda de camadas da pele), principalmente no couro cabeludo e em partes da face
derrame pleural	conhecido como água no pulmão, é o acúmulo de líquidos dentro da pleura, que é a estrutura que fica ao redor do pulmão para proteção
desfibrilação	aplicação de corrente elétrica no paciente, através de um desfibrilador (equipamento eletrônico que serve para fazer o coração voltar a bater no ritmo certo)
desfibrilador	equipamento eletrônico que serve para fazer o coração voltar a bater no ritmo certo
desidratação	condição que ocorre quando o seu corpo usa ou perde mais água, sais minerais e líquidos produzidos pelos próprio corpo do que você ingeriu; se você estiver desidratado, o corpo pode ter dificuldade para funcionar normalmente
desidratar	pessoa que perdeu muita água, sais minerais e outros líquidos produzidos pelo organismo
desmopressina	remédio que reduz a quantidade de urina que o corpo produz
desnutrição	falta de nutrientes suficientes no corpo causada por má alimentação ou doença
desordem neurológica	doença que atinge o sistema nervoso central (rede de comunicação do nosso corpo formada pelo cérebro, medula espinhal e nervos)
desorientação	estado de confusão em relação ao tempo, espaço e/ou identidade
desorientação temporoespacial	confusão em relação ao tempo e ao espaço. A pessoa pode não saber onde está e que dia é hoje.
desorientação temporo espacial	confusão em relação ao tempo e ao espaço. A pessoa pode não saber onde está e que dia é hoje.
diabetes	doença que ocorre quando o nosso corpo não consegue usar a glicose (tipo de açúcar) como deveria, fazendo com que o nosso sangue fique com muito açúcar
diabetes mellitu	doença que ocorre quando o nosso corpo não consegue usar a glicose (tipo de açúcar) como deveria, fazendo com que o nosso sangue fique com muito açúcar
diafragmar	músculo que ajuda na respiração (separa os pulmões dos outros ógrãos da barriga)
diagnóstico	definição do tipo de doença
diagnóstico clínico	quando o profissional de saúde define qual doença a pessoa tem pelos sinais e sintomas que ela apresenta
diagnóstico diferencial	quando o profissional de saúde define o tipo de doença, eliminando a possibilidade de a pessoa ter outras doenças. A pessoa apresenta tosse, febre e perda de peso. Na maioria dos casos, o diagnóstico será de pneumonia, mas se, após exames, o médico não detectar pneumonia, ele terá de procurar outras doenças, como tuberculose, câncer de pulmão etc.
diagnóstico histopatológico	definição da doença através da análise dos tecidos e células
diagnóstico precoce	é uma forma de prevenção e busca identificar a doença quando ela ainda está no início
diálise	tratamento que usa uma máquina que funciona como um rim artificial; ela retira sangue do corpo, filtra esse sangue e bombeia sangue limpo de volta para o corpo
diástole	quando o coração bate, ele tem um período de contração e outro de relaxamento, a diástole é o período em que o coração está relaxado
diencéfalo	*sem definição
dieta cetogênica	dieta em que a pessoa come mais gordura boa (como de óleos, nozes, castanhas etc.), um pouco de proteínas (peixes, carnes) e muito pouco carboidrato (pães, massas etc.)
digestão	os nutrientes dos alimentos precisam chegar até as células para nutrir o nosso corpo, mas a maioria deles não chega diretamente, pois as células só conseguem absorver nutrientes simples; esse processo de “simplificação” recebe o nome de digestão
digestivo	relacionado à digestão ou ao sistema digestivo (*Ver digestão / sistema digestivo no glossário)
digestório	relacionado à digestão ou ao sistema digestivo (*Ver digestão / sistema digestivo no glossário)
diplopia	visão dupla; a pessoa vê duas imagens no mesmo objeto/pessoa
disartria	fraqueza nos músculos usados na fala, o que pode deixar a fala arrastada ou lenta
disautonomia	quando o sistema nervoso autônomo  (*definição de sistema nervoso autônomo) não funciona bem, afetando o coração, a bexiga, os intestinos, as glândulas de suor, as pupilas (olhos) e os vasos sanguíneos
discinesia	movimentos amplos que a pessoa faz sem querer, com balanceios do corpo, movendo o corpo de um lado para outro 
discrasia	condição anormal no sangue
disdiadococinesia	dificuldade de fazer movimentos rápidos em sequência
disfagia	dificuldade para engolir
disfasia	dificuldade de falar
disfemia	gagueira
disfluência	a fala fica quebrada, como na gagueira
disfonia	dificuldade para emitir sons, voz alterada ou fraca
disforia	estado de desconforto, tristeza ou mal-estar
disfunção	funcionamento anormal
disfunção erétil	ocorre quando um homem não consegue ter ou manter uma ereção firme o suficiente para a relação sexual
disfunção miccional	problemas relacionados com a bexiga e para urinar; quando a pessoa tem vontade de fazer xixi o tempo todo, sente dor ao urinar, entre outros problemas 
disfunção olfativa	dificuldade para sentir cheiros
disfunção sexual	dificuldade sentida por uma pessoa ou casal durante o sexo
disfunção visual	problemas de visão
disfunção autonômica	quando o sistema nervoso autônomo (*Ver sistema nervoso autônomo no glossário) não funciona bem, afetando o coração, a bexiga, os intestinos, as glândulas de suor, as pupilas (olhos) e os vasos sanguíneos
dislipidemia	aumento da taxa de gordura no sangue, colesterol alto
dismetria	dificuldade para fazer movimentos com o objetivo de atingir um alvo, pois a pessoa não consegue controlar bem o movimento
disosmia	quando a pessoa não consegue diferenciar ou sentir cheiros
dispareunia	dor durante o sexo
dispepsia	sensação de dor ou desconforto na parte superior do abdomêm (barriga), queimação
displasia	desenvolvimento anormal de um órgão ou tecido; indica que as células podem ter sido alteradas em sua forma, tamanho, organização e função (o que elas fazem no nosso corpo)
dispneia	respiração difícil ou dolorosa; dificuldade para respirar
disprosódia	alteração no ritmo da fala, como acontece na gagueira; o mesmo que disritmolalia
disritmolalia	alteração no ritmo da fala, como acontece na gagueira; o mesmo que disprosódia
dissecação	abertura e/ou separação de organismos mortos (plantas, animais etc.) para estudo
distal	afastado do tronco (do centro do corpo)
distensão muscular	rompimento de um músculo ou de tecido que liga o músculo ao osso
distonia	contração dos músculos sem que a pessoa queira
distônica	relacionado à distonia (*Ver distonia no glossário)
distrofifa	desenvolvimento anormal
distrofia muscular	doenças genéticas (que passam dos pais para os filhos) que causam fraqueza nos músculos e perda de massa muscular
distúrbio	funcionamento anormal de um órgão ou sistema do corpo
distúrbio comportamental de o sono rem	caracterizado por pesadelos em que a pessoa grita, chora, dá socos ou pontapés; pode ser um problema anterior ao desenvolvimento da doença de Parkinson
distúrbio não motor	problemas não relacionados ao movimento
distúrbio de movimento	doenças que causam problemas nos movimentos; dificuldade para se movimentar
distúrbio de o sono	dificuldade para dormir 
distúrbio autonômico	quando o sistema nervoso autônomo (*definição de sistema nervoso autônomo) não funciona bem, afetando o coração, a bexiga, os intestinos, as glândulas de suor, as pupilas (olhos) e os vasos sanguíneos
distúrbios cerebelar	doenças em que o cerebelo (parte do cérebro responsável pelo equilíbrio, movimentos etc.) não funciona bem
distúrbios neurocomportamental	problemas de comportamento da pessoa relacionados a problemas neurológicos (no cérebro)
distúrbio neuropsiquiátrico	problemas de comportamento da pessoa relacionados a problemas neurológicos (no cérebro)
distúrbio psiquiátrico	condições que afetam o humor, o raciocínio (pensamento) e o comportamento
distúrbio vestibular	tontura e desequilíbrio
distúrbios visual	dificuldades para enxergar bem
diurese	aumento da quantidade de urina que é eliminada pelo corpo
diurético	remédios utilizados para aumentar a quantidade de urina produzida e sua eliminação do corpo, reduzindo também a pressão se a pessoa tiver pressão alta
dna	conjunto de moléculas que carregam a informação genéticas de todos os seres vivos (características da espécie e do indivíduo)
doença autoimune	algumas vezes o nosso sistema imune (*Ver sistema imune no glossário) se confunde e ataca as células do nosso próprio corpo. A diabetes tipo 1, em que o sistema imune destrói as células do pâncreas que produzem insulina (hormônio que controla a quantidade de açúcar no sangue) é um exemplo de doença autoimune.
doença autossômica dominante	tipos de doenças que aparecem em todas as gerações de uma família e apenas um gene do pai ou da mãe é necessário para que a doença seja transmitida
doença autossômica recessivo	tipos de doenças que precisam de dois genes ou mais com defeito, do pai e da mãe, para que a doença seja transmitida para o filho(a)
doença crônica	doença sem cura e que exige que a pessoa use remédios sempre, sem poder interromper o uso.
doença crônico neurodegenerativa	doença que prejudica a saúde do cérebro
doença de alzheimer	doença progressiva que vai destruindo a memória e outras funções mentais da pessoa
doença de corpos de lewy	doença que causa a perda, aos poucos, das capacidades do cérebro (memória, pensamento etc.)
doença de parkinson	doença do sistema nervoso central, rede de comunicação do nosso corpo formada pelo cérebro, medula espinhal e nervos que controla tudo o que fazemos, inclusive os movimentos. A pessoa com Parkinson, com o tempo, vai perdendo a capacidade de controlar os movimentos do corpo. Os principais sintomas são tremores (mãos tremendo), dificuldade para manter o equilíbrio e a coordenação, dificuldade para levantar e caminhar e rigidez dos movimentos (movimentos limitados e difíceis).
doença congênita	doença que acompanha a pessoa desde o nascimento
doença neurodegenerativa e crônica	doença que prejudica a saúde do cérebro
doença bucal	doença na boca
doença degenerativo	tipo de doença em que a condição da pessoa vai piorando aos poucos
doença extrapiramidal	doença que ocorre em uma parte do cérebro que controla os movimentos
doença genética	doença que passa dos pais para os filhos causada por um problema no DNA (*Ver DNA no glossário)
doença hereditária	doença que passa dos pais para os filhos
dopamina	substância que atua como uma mensageira entre as partes do cérebro e o sistema nervoso, ajudando no controle e na coordenação dos movimentos, entre outras funções
dopaminérgico	relacionado à dopamina (*definição de dopamina)
dopler	exame  que mede a velocidade do fluxo de sangue dentro dos vasos
dor aguda	dor forte que surge de repente e que, normalmente, não dura por muito tempo
dor crônica	dor persistente que dura de semanas a anos
dor fulgurante	dor rápida e muito forte, como a dor de pontadas
dor lancinante	dor em golpes, aguda e forte
dor radicular	dor causada por lesão (mechucado) ou irritação em um ou mais nervos da coluna vertebral
dosagem	a quantidade de remédio necessária para que o paciente tenha uma boa resposta ao tratamento
dosagem prescrito	quantidade de remédio recomendada pelo médico
dp	DP = Doença de Parknson (*Ver Doença de Parkinson no glossário)
dpoc	Doença Pulmonar Obstrutiva Crônica: grupo de doenças nos pulmões que bloqueiam o fluxo de ar e tornam a respiração mais difícil
droga	remédio
droga sintética	substâncias produzidas através de químicos criados pelo homem ao invés de substâncias naturais
duloxetina	remédio que trata depressão e outros problemas psiquiátricos (mente e comportamento)
duodeno	é a parte inicial e mais curta do intestino delgado; sua principal função é receber os alimentos digeridos pelo estômago e continuar o processo de digestão
ecocardiograma	exame do coração que fornece imagens obtidas através do som produzido pelo coração
ecolalia	quando a pessoa fica repetindo o que acabou de falar ou o que a pessoa com quem está conversando acabou de falar
ecp	Estimulação Cerebral Profunda: cirurgia mais utilizada para combater sintomas como tremores (tremedeira)
eczema	inflamação na pele
edema	inchaço
edema periférico	inchaço nas extremidades (mãos, pés, tornozelos etc.)
edêntulo	sem dentes
efeito "wearing off "	quando o efeito do remédio dura menos do que deveria
efeito neuroprotetor	mecanismos e estratégias usados para proteger os neurônios contra danos causados por doenças
efeito colateral	efeito diferente do pretendido (esperado) de um remédio
efeito adverso	qualquer efeito não desejado de um remédio
ecg	eletrocardiograma; exame feito com um aparelho ligado a eletrodos (peças metálicas), que avalia o ritmo dos batimentos do coração em repouso
ecmo	máquina que substitui o coração e o pulmão em pacientes graves
egg	eletroencefalograma; exame utilizado para detectar doenças que grava a atividade elétrica do cérebro
eletrocardiograma	exame feito com um aparelho ligado a eletrodos (peças metálicas) que avalia o ritmo dos batimentos do coração em repouso; o mesmo que ECG
eletrodar	peça metálica formada por 4 contatos elétricos na ponta; o eletrodo é colocado na parte do cérebro escolhida
eletroencefalograma	exame utilizado para detectar doenças que grava a atividade elétrica do cérebro
eletromiografia	exame que grava da atividade elétrica de um músculo; o mesmo que EMG
embolia	boqueio de um vaso sanguíneo causado por um coágulo (forma sólida do sangue) 
embolia arterial	boqueio de um vaso sanguíneo causado por um coágulo (forma sólida do sangue) 
embolia cerebral	ocorre quando um coágulo de sangue (forma sólida do sangue) viaja até o cérebro, causando um AVC (derrame)
embolia pulmonar	doença em que artérias (vasos) do pulmão ficam bloqueadas por coágulos de sangue (formas sólidas do sangue)
êmese	vômito
emg	eletromiografia; exame que grava da atividade elétrica de um músculo
encefálico	relacionado ao encéfalo (*Ver encéfalo no glossário)
encefalite	inflamação do cérebro
encefalite letárgica	doença que causa  letargia (*Ver letargia no glossário), sono difícil de controlar e tremores (tremedeira)
encéfalo	centro do sistema nervoso, funciona como um computador que reúne e processa todas as informações, enviando mensagens para o resto do nosso corpo; é diferente do cérebro pois inclui outras partes do sistema nervoso; o cérebro faz parte do encéfalo
encefalopatia	termo usado para qualquer doença no cérebro que altera o funcionamento ou a estrutura do cérebro
encefalopatia de o pugilista	doença causada por trauma na cabeça
endemia	quando a doença está presente em uma área/região sempre, o tempo todo, durante anos e anos. A dengue é uma doença endêmica no Brasil, pois está presente aqui por muitos anos.
endocárdio	camada que cobre a parte interna do coração
endocrinologia	especialidade médica que cuida do funcionamento das glândulas e de suas doenças; as glândulas produzem e liberam hormônios (substâncias que regulam o nosso corpo)
endocrinologista	médico que cuida das doenças relacionadas às glándulas e aos hormônios (substâncias que regulam o nosso corpo) produzidos e liberados por elas
endógeno	que se forma no interior do nosso organismo
endoscopia	exame nos órgãos do sistema digestivo (sistema que transforma a comida que comemos em energia para o nosso corpo) para avaliar doenças como refluxo, gastrite e câncer
endoscópio	aparelho que faz imagens de dentro do nosso corpo
endovenoso	injeção aplicada dentro das veias; o mesmo que intravenoso
enfarte	ataque do coração; ocorre quando o fluxo de sangue deixa de chegar ao músculo do coração, fazendo com que esse músculo seja danificado ou morra
enfarto	ataque do coração; ocorre quando o fluxo de sangue deixa de chegar ao músculo do coração, fazendo com que esse músculo seja danificado ou morra
enfarto de o miocárdio	ataque do coração; ocorre quando o fluxo de sangue deixa de chegar ao músculo do coração, fazendo com que esse músculo seja danificado ou morra
enfermidade	doença
enfermo	doente
entacapona	tipo de remédio utilizado no tratamento da Doença de Parkinson
entubar	colocar tubo ou sonda no paciente
extubar	remover tubo ou sonda do paciente
enurese	perda de controle da bexiga, que pode ser desde gotas de xixi após espirrar, tossir ou rir até a total  falta de capacidade de controlar a urina
enxaqueca	dor de cabeça muito forte que pode causar enjoo e sensibilidade à luz
enzima	proteína muito importante para manter as células do corpo funcionando bem; pessoas com a Doença de Parkinson podem apresentar alterações nas enzimas do corpo
epidemia	quando uma doença tem um aumento muito grande de casos durante um tempo, mas depois o número de casos cai. Países passam por epidemias de gripe todos os anos, principalmente no inverno, pois o número de casos de gripo aumenta muito nesta época.
epidemiologia	estudo do que causa a doença e como ela se comporta em grupos de pessoas
epiderme	camada externa da pele
epilepsia	doença cerebral sem cura em que a pessoa tem ataques epiléticos, convulsões 
epinefrina	hormônio produzido pelo nosso corpo e remédio com efeitos em diferentes sistemas do corpo; quando remédio pode ser usado em situações de emergência como crises de alergia grave e em muitas outras situações 
episódio	um período importante durante uma doença, que deve ser levado em consideração pelo médico
equimose	mancha avermelhada ou escura na pele causada por um machucado
ereto	posição de pé
eritema	tipo de vermelhidão da pele
eritema multiforme	inflamação na pele que causa placas vermelhas e salientes em todo o corpo
eritema nodoso	inflamação da camada de gordura abaixo da pele que provoca caroços vermelhos ou roxos 
eritrócito	também chamadas de hemácias ou glóbulos vermelhos, são células do sangue importantes para levar oxigênio aos tecidos do corpo; também são responsáveis pela cor vermelha do sangue
eritromelalgia	doença rara em que pequenos vasos da pele se dilatam (expandem), provocando dor, sensação de pele quente e vermelhidão
escala de apgar	medida que avalia como está um bebê recém-nascido, feita 1 minuto após o nascimento e repetida depois de 5 minutos
escala de ashworth	escala mais utilizada para avaliar e medir a espasticidade (tônus muscular aumentado); varia de 0 a 4
escala de lawton	mede a capacidade dos idosos de realizarem atividades mais complexas que as atividades simples do dia a dia; o mesmo que índice de Lawton
esclerose	degeneração (mudança para um estado pior) dos tecidos do corpo, que pode ocorrer em vários órgãos e estruturas, como nervos, pulmões etc.
esclerose hipocampal	atrofia (diminuição do tamanho) em uma parte do cérebro chamada hipocampo (*Ver hipocampo no glossário)
esclerose de o hipocampo	atrofia (diminuição do tamanho) em uma parte do cérebro chamada hipocampo (*Ver hipocampo no glossário)
esclerose mesial	*sem definição
esclerose múltipla	doença que afeta o cérebro, os nervos que ligam os olhos ao cérebro e a medula espinhal; o sistema de defesa do nosso corpo confunde células saudáveis com células "intrusas" e as ataca danificando essas células
escoliose	a coluna fica curvada de um jeito anormal
escorar de apgar	mede como um bebê recém-nascido está 1 minuto após o nascimento e novamente depois de 5 minutos
escotoma	ponto cego; quando a pessoa perde a capacidade de visão em um ponto específico do campo de visão
esfignomanômetro	aparelho usado para para medir a pressão sangúinea (pressão que o sangue faz contra os vasos)
esfíncter	estrutura do corpo, normalmente um músculo, que abre ou fecha orifícios no nosso corpo
esofagite	inflamação do esôfago (*Ver esôfago no glossário) que pode provocar dor e dificuldade para engolir
esôfago	canal que leva o alimento até o estômago
espasmo	contração sem controle do músculo
espasmódico	que causa ou que tem espamos (*Ver espasmo no glossário)
espasticidade	estado anormal do músculo envolvenodo o aumento do tônus muscular e dos reflexos
esperança de vida a o nascer	cálculo que faz uma média de quantos anos uma pessoa vai viver. No brasil, uma pessoa nascida em 2020 vai viver, em média, 76,6 anos, esse número pode mudar dependendo da vida que a pessoa tiver
espinha dorsal	dá sustentação ao corpo humano e ajuda na nossa locomoção, permitindo que caminhemos sobre os dois pés, sem precisar usar as mãos; além disso, protege os nervos da medula espinhal (*Ver medula espinhal no glossário); o mesmo que espinha dorsal
esplenomegalia	aumento do baço (*Ver baço no glossário)
estabilidade dinâmica	equilíbrio ao se movimentar
estabilidade estática	equilíbrio ao ficar parado
estadiamento	avaliação da extensão do tumor no paciente
estereognosia	capacidade de perceber com as mãos a forma e o tamanho de um objeto
estereotaxia	cirurgia sem cortes grandes utilizada para localizar pequenos alvos no interior do corpo e executar neles alguma atividade, como injeção de uma substância etc.
estereotipia	ação repetitiva no movimento, postura ou fala; a pessoa fala a mesma coisa sem parar, não consegue parar de se movimentar etc.
esteroides	tipo de hormônio (substância) que controla várias funções do nosso corpo, como as características sexuais de uma pessoa, entre outras
estetoscópio	instrumento que ajuda o profissional de Saúde a escutar sons internos do nosso corpo
estimulação cerebral profunda	cirurgia mais utilizada para combater sintomas como tremores
estimulação colinérgica	estímulo de um tipo de neurônio chamado colinérgico (*Ver neurônios colinérgicos no glossário)
estimulação dopaminérgica	estímulo para que o cérebro libere mais dopamina (*Ver dopamina no glossário)
estimulação magnética transcraniana	*sem definição
estimulação magneto térmica	nova técnica sem cortes grandes usada para ativar pequenos grupos de células do cérebro
estimulação talâmica	estímulo dos neurônios da região do tálamo (*Ver tálamo no glossário)
estímulo dopaminérgico	estímulo para que o cérebro libere mais dopamina (*Ver dopamina no glossário)
estiramento	rompimento de um músculo ou do tecido que liga o músculo ao osso
estômago	órgão que parece uma bolsa; localizado do lado esquerdo no abdômem (barriga), é nele que os alimentos são digeridos 
estomatite aftoso	aftas na boca
estrabismo	desvio anormal do olho; vesguice
estresse	resposta do nosso corpo a uma situação difícil, de ameaça ou pressão
estresse oxidativo	quando a membrana celular (*definição de membrana celular) se rompe, liberando substâncias tóxicas no organismo
estressores primário	*sem definição
estressores secundário	*sem definição
estriar	parte central do cérebro com neurônios importantes; é uma das partes mais afetadas por doenças neurológicas como Doença de Parkinson e Alzheimer
estrogênio	hormônio (substância que regula o nosso corpo) responsável pelas características femininas e pela ovulação (processo em que a mulher libera um óvulo e pode engravidar) 
estudo randomizados	estudos nos quais os grupos estudados são divididos aleatoriamente (sem preferências)
estupor	a pessoa não responde e só consegue ser despertada se receber estímulos físicos vigorosos, como sacudidas fortes ou algo que a faça sentir dor
etiologia	estudo que busca as causas, por exemplo, de uma doença
etopropazina	tipo de remédio usado no tratamento da Doença de Parkinson e outras doenças
eupneia	respiração normal
eutanásia	quando um paciente recebe o direito de morrer para aliviar o sofrimento causado por uma doença que não tem cura
evento adverso	qualquer acontecimento relacionado à saúde do paciente e que não tem relação com o tratamento
evidência clínica	sinais e sintomas que confirmam doenças
exame ocular	teste realizado nos olhos para avaliar a visão do paciente
exame oftalmológico	exame que avalia os olhos, as pálpebras e os canais por onde saem as lágrimas para investigar doenças nos olhos, como o glaucoma ou a catarata (*Ver glaucoma e catarata no glossário), entre outras doenças nos olhos
exame audiológico	exames que medem se a pessoa escuta bem ou não
exame laboratorial	exames feitos em laboratório
exame histopatológico	exame dos tecidos do corpo para diagnóstico de câncer; este exame também serve para diagnosticar outras doenças, como tuberculose, micoses, infecções etc
excitotoxicidade	quando as células são super estimuladas e podem acabar sendo danificadas ou morrendo
exérese	remoção por cirurgia
exoma	exame que identifica doenças genéticas; conjunto de aproximadamente 180.000 éxons (*definição de éxons); fração do genoma (*definição de genoma)
éxons	regiões dos genes que codificam proteínas
espectativa de vida	cálculo que faz uma média de quantos anos uma pessoa vai viver. No brasil, uma pessoa nascida em 2020 vai viver, em média, 76,6 anos, esse número pode mudar dependendo da vida que a pessoa tiver.
eupnéica	respiração normal
expectorante	substância ou remédio que facilita a liberação de secreções, como catarro, nariz entupido etc.
expectorar	liberar secreções, como catarro, nariz entupido etc.
expiração	processo de soltar o ar
expirar	soltar o ar
exposição crônica	quando a pessoa é exposta a algo ou a uma substância por muito tempo. A pessoa trabalha em um ambiente onde se usam pesticidas e fica exposta a essa substância diariamente.
extremidade	mãos, pés e orelhas
fabulação	substituir a realidade por uma aventura imaginária
fácies de máscara	a face parece uma máscara porque fica sem expressão, o olhar fica parado, vago e fixo
fácies parkisoniana	sintoma da doença de Parkinson e de outras doenças; a face parece uma máscara porque fica sem expressão, o olhar fica parado, vago e fixo
fadiga	cansaço, exaustão
faringe	tem a função de fazer a passagem do ar que inalamos (respiramos) e dos alimentos que comemos até os outros órgãos
fármaco	remédio
farmacologia	ciência que estuda como os medicamentos ou substâncias interagem com o organismo
farmacológico	relacionado à farmacologia (*Ver farmacologia no glossário)
farmacoterapia	tratamento de pacientes com o uso de remédios
fáscia	faixa de tecido ao redor do músculo
fator ambiental	fatores que podem contribuir para uma doença e que estão presentes no ambiente onde a pessoa vive, como doenças causadas pela falta de esgoto nos bairros e casas
fator de risco	qualquer situação que aumente as chances de uma pessoa ficar doente ou de piorar da doença
fator genético	fatores que contribuem para o surgimento de uma doença e que foram passados de pais para filhos
fator predisponente	fatores que criam as condições para o surgimento de uma doença. Os fatores predisponentes, ou seja, que contribuem para a pessoa ter pressão alta são estar acima do peso, estresse, fumar e não fazer exercícios
fda	do inglês Food and Drug Administration: órgão do governo dos Estados Unidos que controla a liberação de vários tipos de alimentos e substâncias (tanto para humanos quanto para animais), incluindo remédios
febril	com febre
fêmur	osso longo da coxa; maior osso do corpo humano
fenótipo	características que podem ser observadas em uma pessoa ou animal e que são determinadas pela genética e pelo meio ambiente, como cor do cabelo, tom da pele etc.
festinação	aceleração não controlada dos passos para não cair para frente
fibra motor	fazem parte dos nervos e levam os impulsos produzidos no sistema nervoso (*Ver sistema nervoso no glossário) para os órgãos onde a ação será realizada
fibra sensorial	fazem parte dos nervos e levam as informações obtidas no meio ambiente e no interior do nosso organismo para os locais onde essas informações serão analisadas no Sistema Nervoso Central (*definição de SNC)
fibrilação	o coração bate de forma irregular, muitas vezes muito rápido, causando má circulação do sangue
fibromialgia	doença sem cura que causa muita dor em todo o corpo; não se sabe o que causa essas dores
fibrose	endurecimento que pode ocorrer em qualquer região do corpo, mas que é mais comum na pele, gordura ou músculos
fígar	órgão do sistema digestivo com muitas funções importantes, como metabolizar (processar) e armazenar nutrientes, filtrar micro-organismos e desintoxixcar o corpo 
fisiologia	estuda a atividade e as funções normais do corpo
fisiopatologia	funcionamento da doença
fisioterapeuta	profissional que se dedica a tratar e prevenir problemas com os movimentos do corpo
fisioterapia	técnicas guiadas por um profissional usadas no tratamento de problemas com os movimentos do corpo
fisioterápico	relacionado à fisioterapia (*Verfisioterapia no glossário)
fissurar	fenda ou corte que ocorre em uma parte de um órgão
fissura anal	pequeno corte no ânus e que tem como causas principais a prisão de ventre e fezes muito grandes e duras
flato	gases, pum
flatulência	gases, pum
flora intestinal	conjunto de organismos muito pequenos que vivem em nosso intestino; quando estão em harmonia ajudam no metabolismo e nas defesas do corpo, quando se desequilibram podem causar doenças
fluência verbal	quando a pessoa tem facilidade para encontrar as palavras que quer falar ou usar
fluoxetina	remédio usado para tratar depressão, ansiedade e outros problemas relacionados ao comportamento e à mente
flutuação motor	problemas na coordenação motora e nos movimentos do paciente; um dos efeitos adversos de medicamentos utilizados para tratar a Doença de Parkinson
flutuações não motor	problemas não relacionados aos movimentos do paciente, podem incluir depressão, perda de memória, dificuldade na fala, entre outros
fonação	produção da voz
fonoaudiologia	ciência que estuda a fala; conjunto técnicas guiadas por um profissional usadas para tratar problemas de fala
fonoaudiológico	relacionado à fonoaudiologia (*Ver fonoaudiologia no glossário)
fonoterapia	técnica que utiliza exercícios específicos para estimular a linguagem, fala, audição (ouvir), voz e os músculos dos lábios, língua, bochechas e face
fotofobia	quando a pessoa tem dificuldade para tolerar (aguentar) a luz
fotossensibilidade	sensibilidade à luz, claridade ou ao sol
fratura	quebra do osso em um ou mais pedaços
fratura expor	quando  o osso quebrado rompe os músculos e a pele
fratura óssea	quebra do osso em um ou mais pedaços
freezing	congelamento da caminhada, como se a pessoa estivesse colada ao chão
frequência cardíaca	número de batimentos do coração por minuto
frequência de passar	velocidade com que se dá os passos
função hepática	funcionamento do fígado
função metabólica	reações químicas que acontecem nas células do nosso corpo e que transformam os alimentos em energia
funções vital	funções necessárias para manter a vida; a alimentação e a respiração são exemplos de funções vitais
fuso neuromuscular	pequenas estruturas localizadas nos músculos, que controlam o tônus muscular
gaba	mensageiro químico que regula a agitação do cérebro e do corpo, o que leva a uma sensação de calma; o mesmo que GABA
gânglio	pequenas estruturas (glândulas) que tem a função de defender o organismo de infecções
gânglios de o base	estruturas localizadas no cérebro e relacionadas com o movimento; elas ajudam a planejar e executar movimentos complexos; problemas nessas estruturas podem causar dificuldades de se mover por rigidez, tremores e paralisia
glânglios linfático	pequenas estruturas (glândulas) que têm a função de defender o organismo de infecções; o mesmo que linfonodo
gangrena	morte dos tecidos que pode ter diferentes causas, mas principalmente a falta de irrigação de sangue no local afetado
gasto energético	gasto de energia
gastrite	inflamação do estômago
gastrodinia	dor no estômago
gastropatia	doença do estômago
gene	estruturas responsáveis por carregar as informações necessárias para que nossas características se expressem; a pessoa pode ter um gene que determina que a cor dos seus olhos é azul
gene supressor	gene que reduz as chances de uma célula se tornar um tumor, pois impede a multiplicação descontrolada das células
gênese	origem e desenvolvimento dos seres
